Requirement ID,Requirement Summary,Architecture Element,Design Document,Implementation File,Test Case,Status,Notes
SYS-FUNC-001,Camera perception at 10 Hz,CameraAINode,architecture.md:Camera AI Node,pi5_linux/ros2_ws/src/hand_detection_node + object_detection_node,N/A,PASS,M4/M7: MediaPipe Hands + YOLOv8n; split into two MMU-isolated nodes; /detections at 10 Hz — verified 2026-05-09
SYS-FUNC-002,Ultrasonic sensing 2-400cm,UltrasonicNode,architecture.md:Ultrasonic Node,pi5_linux/ros2_ws/src/ultrasonic_node/ultrasonic_node/ultrasonic_node.py,tests/unit/test_ultrasonic.py,PASS,M2: Grove Ranger on GPIO 23; /obstacles at 20 Hz — verified 2026-05-08
SYS-FUNC-003,Sensor fusion and conflict detection,DecisionNode,docs/safety_mechanisms.md:SM-4,pi5_linux/ros2_ws/src/decision_node/src/decision_node.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3+: camera_valid + ultrasonic_valid inputs; camera distance fusion SYS-SAFE-012 — verified 2026-05-11
SYS-FUNC-004,Path planning and velocity commands,DecisionNode,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/decision_node.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3: velocity scaling per state (1.0/0.5/0.2/0.0); path planning deferred (no motor HW)
SYS-FUNC-005,Actuator control with emergency override,ActuatorNode,docs/safety_mechanisms.md:SM-2,pi5_linux/ros2_ws/src/actuator_node/actuator_node/actuator_node.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M2/M5: GPIO 25 polled 100 Hz; e-stop via Pi400 hardware — verified 2026-05-09
SYS-FUNC-006,UDP Q&A watchdog servicing (Pi5),HealthMonitorNode,docs/safety_mechanisms.md:SM-1,pi5_linux/ros2_ws/src/health_node/health_node/health_node.py,tests/ffi/ffi_temporal_timing.py,PASS,M5/M7: UDP client; 30ms window (15ms closed+15ms open); 20ms cycle; E2E CRC-16+seq — verified 2026-05-11
SYS-FUNC-007,UDP Q&A watchdog monitoring (Pi400),QAWatchdogServer,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5/M7: failure_counter + window enforcement + CRC-16 + seq; SAFE_STATE at 3 — verified 2026-05-09
SYS-FUNC-008,Safe state enforcement,SafeStateController,docs/safety_mechanisms.md:SM-2,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: GPIO 25 LOW + GPIO 22 HIGH on failure_counter >= 3 — verified 2026-05-09
SYS-SAFE-001,AI not in safety decision path,QNX Domain Architecture,docs/safety_mechanisms.md:AI Safety Boundary,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,tests/fault_injection/fi_02_camera_node_stop.py,PASS,M6: camera stop → DEGRADED only (not SAFE_STATE); AI output = liveness bool only — verified 2026-05-09
SYS-SAFE-002,Spatial independence via dual processors,System Architecture,docs/ffi_argument.md + docs/ffi_verification_report.md,Deployment (Pi5 + Pi400),tests/ffi/ffi_spatial_stress.sh,PASS,M7 FFI-SPATIAL: 30s Pi5 stress → failure_counter stayed 0 — verified 2026-05-11
